Filename,Label,Wind_Speed_Vw,Num_Samples,Columns,RMS,Kurtosis,Skewness,Peak_to_Peak,Mean,Std
Erosion fault state-Vw=2.1.csv,Erosion,2.1,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004962116239164495,3.4114669708052814,0.6004215770574923,0.033864000000000005,0.0007895766,0.004898894402180194
Erosion fault state-Vw=2.1.csv_aug_1,Erosion,2.1,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004962875470176419,3.4060785907485376,0.597621036836367,0.03381765708497806,0.0007887313278890599,0.004899799569868666
Erosion fault state-Vw=2.1.csv_aug_2,Erosion,2.1,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004965491234821892,3.402489884059964,0.6002426465824354,0.03381651295689486,0.0007869657370291189,0.004902732720823689
Erosion fault state-Vw=2.8.csv,Erosion,2.8,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004854717984206704,4.805198835119436,0.8067197281513941,0.035064,0.0003075498,0.004844966442267682
Erosion fault state-Vw=2.8.csv_aug_1,Erosion,2.8,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.00485782461538742,4.804163727617733,0.8063445269950253,0.03505868131053076,0.00030784408880204925,0.004848060644304439
Erosion fault state-Vw=2.8.csv_aug_2,Erosion,2.8,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004853744907316265,4.7947692966997755,0.8047236497030358,0.035012719485729954,0.0003072504681117707,0.004844010402047427
Erosion Fault state-Vw=3.4.csv,Erosion,3.4,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0048577278373597675,4.202969736645944,0.6951825083453105,0.040098,0.0003631678,0.004844133450979975
Erosion Fault state-Vw=3.4.csv_aug_1,Erosion,3.4,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0048577720861297255,4.218214900960821,0.6979619708108845,0.04019422853275786,0.00036226882737893116,0.004844245135982555
Erosion Fault state-Vw=3.4.csv_aug_2,Erosion,3.4,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004858586564892473,4.19272644644873,0.6984523396215999,0.03996713321828775,0.0003651959662871068,0.004844842135174402
Erosion Fault State-Vw=4.2.csv,Erosion,4.2,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004951858493373978,4.701514748282123,0.8595702819383392,0.035748,0.0001523016000000001,0.004949515810767498
